,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEER,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
314,1407.55,7,6,3,50.03,3,21951.72414,1,0,4576.0
315,1081.67,3,6,2,67.59,2,6970.0,0,0,4200.0
316,1980.9,3,6,8,52.35,3,22643.33333,0,0,15096.0
317,1057.07,2,6,7,71.54,1,31592.0,0,0,0.0
318,1277.36,1,6,10,63.68,2,50945.0,0,0,13080.0
319,1889.28,5,6,7,41.88,3,17114.08451,0,0,6336.0
320,983.81,1,6,4,68.1,2,13362.0,0,0,7450.0
321,719.74,7,6,5,74.46,1,35855.17241,0,0,3550.0
322,1670.74,4,6,6,73.08,1,15810.56338,0,0,4176.0
323,1701.57,2,6,3,46.54,3,16710.0,0,1,0.0
324,1588.5,4,6,5,62.76,2,10813.125,0,0,4800.0
325,1329.99,5,6,6,72.72,1,14898.76543,0,0,4100.0
326,1571.87,4,6,5,59.72,2,12714.49275,0,0,3848.0
327,800.3,1,6,1,75.96,1,5772.0,1,0,3350.0
328,1260.93,4,6,2,60.72,2,8539.74359,1,1,5160.0
329,668.29,7,6,2,74.38,1,14160.34483,0,0,3536.0
330,1015.11,1,6,8,63.1,2,33789.0,0,0,7860.0
331,905.92,1,6,7,74.67,1,26323.0,0,0,8100.0
332,765.76,6,6,1,71.51,1,8741.37931,1,0,2704.0
333,989.5,6,6,1,66.53,2,3868.965517,1,1,4896.0
334,1100.15,6,6,3,63.88,2,19837.93103,0,0,5700.0
335,1451.07,1,6,10,52.03,3,50456.0,0,0,6000.0
336,1539.1,2,6,7,65.55,2,18184.50704,0,0,4800.0
337,894.64,7,6,1,65.62,2,11420.68966,0,0,3200.0
338,1744.09,2,6,2,50.06,3,12206.0,1,1,0.0
339,1254.2,7,6,2,54.44,3,15048.27586,1,1,3640.0
340,1792.05,3,6,6,58.61,2,8949.50495,0,0,7200.0
341,1406.78,6,6,2,45.32,3,19541.37931,0,0,3120.0
342,1034.5,4,6,2,70.2,1,11057.69231,1,0,4590.0
343,1006.98,3,6,3,73.24,1,6699.166667,0,0,6600.0
344,1378.49,2,6,6,63.51,2,28568.0,0,0,0.0
345,757.33,6,6,5,71.17,1,30917.24138,0,0,3796.0
346,1057.74,2,6,4,72.13,1,14972.0,0,0,3700.0
347,1557.9,1,6,6,59.73,2,15134.23913,0,0,0.0
348,1067.0,7,6,3,57.47,2,20520.68966,0,0,3744.0
349,846.07,7,6,2,70.96,1,15996.55172,0,0,3952.0
350,1725.86,7,6,4,29.93,4,31163.7931,0,0,0.0
351,1301.03,3,6,6,65.17,2,18743.33333,0,0,4320.0
352,1497.97,1,6,4,56.01,2,19644.0,0,0,0.0
353,1217.3,2,6,3,69.33,1,11274.0,0,0,5049.0
354,1749.79,2,6,4,45.01,3,18136.0,0,0,0.0
355,1787.42,7,6,3,28.39,4,27220.68966,1,1,0.0
356,984.17,2,6,4,75.71,1,19043.0,0,0,396.0
357,1284.01,4,6,2,62.87,2,10314.10256,1,1,3536.0
358,940.79,6,6,1,68.19,2,10624.13793,1,0,3692.0
359,1896.86,3,6,4,44.05,3,12880.83333,0,0,5220.0
360,974.62,6,6,1,64.97,2,9351.724138,0,0,4810.0
361,1212.24,1,6,1,54.35,3,5772.0,1,1,4500.0
362,1367.93,1,6,2,47.08,3,7706.0,1,1,5200.0
363,1122.48,3,6,4,65.39,2,13266.66667,0,0,3900.0
364,1177.06,2,6,8,68.57,1,28621.83099,0,0,0.0
365,1344.16,2,6,9,67.42,2,23648.36957,0,0,0.0
366,940.3,1,6,2,74.66,1,5288.0,0,0,8619.0
367,1265.64,4,6,1,66.53,2,4426.923077,1,1,5560.0
368,903.33,1,6,6,71.29,1,22213.0,0,0,3300.0
369,828.64,7,6,2,69.32,1,18186.2069,0,0,3744.0
370,1548.64,3,6,7,77.37,1,16886.41304,0,0,0.0
371,1461.4,3,6,9,59.29,2,35380.98592,0,0,520.0
372,1034.79,7,6,1,57.06,2,11324.40348,1,1,57.84598232
373,672.54,6,6,1,79.78,1,10806.89655,1,0,4680.0
374,1203.36,1,6,5,63.98,2,17416.0,0,0,4800.0
375,1029.94,4,6,3,72.81,1,11362.67606,0,0,0.0
376,1131.82,2,6,6,64.68,2,20517.0,0,0,6240.0
377,1300.89,1,6,3,59.18,2,11082.0,0,0,4800.0
378,1363.76,1,6,4,58.33,2,15864.0,0,0,4680.0
379,1252.18,7,6,1,53.54,3,17148.27586,1,1,0.0
380,941.49,1,6,5,75.49,1,15754.0,0,0,6300.0
381,2625.41,1,6,8,29.89,4,35206.0,0,0,0.0
382,862.48,3,6,4,75.75,1,8937.142857,0,0,5400.0
383,684.53,7,6,4,73.31,1,24663.7931,0,0,4264.0
384,1428.74,4,6,3,58.89,2,8118.309859,0,0,4680.0
385,1548.3,3,6,8,64.46,2,19925.625,0,0,4524.0
386,908.86,4,10,3,75.91,1,14471.79487,0,0,4800.0
387,2650.2,5,10,2,32.78,4,12745.0,1,1,0.0
388,1406.98,3,10,6,77.72,1,13297.14286,0,0,8400.0
