,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ_LILEE,fpflgb,fpflgf,HousingCosts
9162,1440.44,3,10,8,68.68,1,25233.125,0,0,5136.0
9163,1678.1,3,2,9,57.41,2,36960.56338,0,0,0.0
9164,729.39,7,4,2,73.41,1,15500.0,0,0,4410.0
9165,1133.25,2,5,6,70.89,1,31014.0,0,0,0.0
9166,971.28,1,9,9,78.42,1,46711.0,0,0,10752.0
9167,1132.11,7,7,3,51.91,3,31334.48276,0,0,2400.0
9168,1292.49,2,6,3,67.44,2,18711.0,0,0,0.0
9169,1262.01,2,2,7,69.92,1,36865.0,0,0,0.0
9170,771.19,6,10,1,65.57,2,0.0,1,1,7836.446625
9171,902.61,6,4,2,73.47,1,8965.517241,0,0,3900.0
9172,1601.41,3,2,4,65.54,2,8662.254902,0,0,6600.0
9173,1590.06,7,9,2,67.29,2,26777.58621,0,1,0.0
9174,1129.0,2,4,4,67.66,2,20948.0,0,0,0.0
9175,974.37,6,9,1,64.59,2,5615.517241,1,0,6552.0
9176,702.86,6,8,2,74.54,1,15677.58621,0,0,6000.0
9177,1548.3,2,9,8,59.37,2,47950.0,0,0,0.0
9178,1419.09,3,2,6,64.48,2,19457.85714,0,0,7200.0
9179,773.52,6,2,2,78.1,1,12600.0,0,0,5746.0
9180,1072.07,7,10,3,48.4,3,34617.24138,0,0,0.0
9181,928.25,6,6,3,68.9,1,28951.72414,0,0,0.0
9182,1568.27,2,1,3,64.71,2,15718.0,0,0,4200.0
9183,858.38,3,7,4,77.74,1,7164.788732,0,0,11400.0
9184,1829.76,5,2,6,41.46,3,21984.0,0,0,7800.0
9185,1639.89,3,2,7,66.83,2,24292.14286,0,0,5040.0
9186,888.92,4,8,2,69.26,1,10746.15385,0,0,6000.0
9187,2244.67,7,8,9,29.96,4,75908.62069,0,0,16800.0
9188,1324.82,2,4,4,68.34,2,20829.0,0,0,0.0
9189,1516.32,1,9,9,75.69,1,31289.39007,0,0,12278.0661
9190,1362.95,7,7,1,54.88,2,15005.17241,1,1,0.0
9191,837.75,3,7,8,77.13,1,33436.66667,0,0,7200.0
9192,1073.09,2,7,8,74.09,1,44873.0,0,0,5400.0
9193,1346.15,7,1,2,56.78,2,25070.68966,0,0,0.0
9194,1301.63,6,8,8,64.01,2,41591.37931,0,0,24000.0
9195,941.14,1,7,9,75.72,1,43208.0,0,0,10668.0
9196,1689.75,3,7,10,63.61,2,30869.56522,0,0,9600.0
9197,786.68,6,2,1,73.2,1,6665.517241,1,0,4056.0
9198,1914.77,2,5,7,55.83,2,35919.19597,0,0,2480.804034
9199,936.36,7,10,3,66.91,2,21137.93103,0,0,4400.0
9200,846.42,1,2,9,76.47,1,60535.0,0,0,3168.0
9201,1009.19,2,4,4,68.18,2,23141.0,0,0,0.0
9202,1284.63,2,10,3,69.21,1,11523.0,0,0,5629.0
9203,1144.81,1,10,9,75.85,1,38703.52113,0,0,5400.0
9204,773.99,7,1,2,66.42,2,15586.2069,0,0,4368.0
9205,1246.89,7,10,1,58.78,2,11018.96552,1,1,4680.0
9206,1233.43,5,10,8,62.38,2,37473.91911,0,0,4177.080887
9207,1576.62,2,9,10,53.43,3,67779.0,0,0,0.0
9208,1289.92,3,9,5,70.28,1,12062.14286,0,0,9540.0
9209,860.29,7,2,2,68.7,1,16675.86207,0,0,4888.0
9210,823.99,7,10,3,69.49,1,11275.86207,0,0,6500.0
