,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
2450,997.0,6,9,1,68.64,1,-6700.0,1,1,5616.0
2451,1381.28,2,2,7,58.92,2,36959.0,0,0,0.0
2452,1210.54,7,7,7,50.03,3,60525.86207,0,0,0.0
2453,1058.86,6,9,2,58.85,2,14956.89655,0,0,6240.0
2454,1392.65,5,8,1,56.74,2,-3076.0,1,1,5616.0
2455,1307.97,1,1,7,66.23,2,21603.52113,0,0,2508.0
2456,1707.46,3,5,5,66.51,2,13540.21739,0,0,0.0
2457,843.81,3,6,5,72.65,1,14926.76056,0,0,3952.0
2458,1624.47,1,2,7,57.82,2,25725.35211,0,0,0.0
2459,1834.67,3,6,3,48.39,3,7902.5,1,1,6300.0
2460,4116.76,2,6,6,23.13,4,29019.0,1,1,0.0
2461,1242.35,7,9,1,41.7,3,5670.689655,1,1,5629.0
2462,2920.5,4,10,6,21.08,4,13167.60563,1,1,8400.0
2463,560.23,7,2,2,83.53,1,13760.34483,0,0,6292.0
2464,930.42,2,4,3,63.76,2,12259.0,0,0,3016.0
2465,734.59,4,5,3,77.26,1,10030.76923,0,0,9438.0
2466,1298.21,5,7,7,64.89,2,17395.67901,0,0,7488.0
2467,733.38,7,9,1,67.5,2,8798.275862,1,0,3640.0
2468,926.45,4,1,3,78.85,1,9714.222676,0,0,4025.8038
2469,1443.32,2,1,3,63.81,2,12569.0,1,0,5720.0
2470,1276.98,2,6,6,61.07,2,24661.0,0,0,4332.0
2471,906.02,5,8,2,76.53,1,5295.0,1,0,6760.0
2472,1479.71,7,2,4,51.48,3,35636.2069,0,0,0.0
2473,1283.96,1,2,4,66.79,2,22401.0,0,0,0.0
2474,1375.65,4,5,5,64.6,2,21262.2449,0,0,5304.0
2475,744.11,7,10,3,74.14,1,19325.86207,0,0,5200.0
2476,757.41,6,10,2,72.26,1,14486.2069,0,0,4108.0
2477,2830.08,3,4,10,52.23,3,45831.42857,0,0,18000.0
2478,1354.22,3,6,2,62.38,2,6819.166667,1,0,6600.0
2479,925.25,2,7,4,70.39,1,14362.0,0,0,4680.0
2480,1364.31,2,10,6,43.91,3,29144.0,0,0,0.0
2481,943.01,7,7,1,58.94,2,18924.13793,0,0,0.0
2482,1232.61,2,1,9,53.26,3,45697.0,0,0,0.0
2483,1204.01,1,9,6,57.72,2,20075.0,0,0,11064.0
2484,586.98,4,9,5,84.48,1,18519.23077,0,0,9840.0
2485,795.51,7,5,4,70.32,1,19868.96552,0,0,8424.0
2486,1213.09,2,9,6,67.34,2,30604.0,0,0,0.0
2487,1272.57,2,4,6,60.28,2,29333.0,0,0,0.0
2488,1137.72,3,9,10,67.62,2,43654.16667,0,0,15000.0
2489,1031.33,2,2,2,74.21,1,8788.0,1,0,5044.0
2490,976.98,6,8,10,60.61,2,100000.0,0,0,0.0
2491,757.58,6,10,2,75.38,1,15586.2069,0,0,4264.0
2492,805.08,7,5,3,71.58,1,20360.34483,0,0,4524.0
2493,1584.78,1,7,6,53.68,3,15088.02817,0,0,6240.0
2494,1213.53,5,8,6,58.92,2,22832.0,0,0,6000.0
2495,1118.39,1,10,5,61.26,2,23810.0,0,0,0.0
2496,742.02,7,8,6,74.35,1,41768.96552,0,0,6292.0
2497,1840.65,4,9,8,53.82,3,23934.05797,0,0,7956.0
2498,1466.18,3,4,4,64.52,2,10372.85714,0,0,5408.0
2499,1352.7,6,6,2,49.16,3,18732.75862,0,0,3000.0
2500,1219.79,5,4,8,68.12,2,26400.70423,0,0,4704.0
2501,1167.05,1,2,8,66.88,2,39005.0,0,0,5160.0
2502,1285.97,1,7,7,54.13,3,32454.0,0,0,0.0
2503,1135.71,7,7,1,54.53,2,6083.063374,1,1,2700.823243
2504,1228.04,7,2,5,60.37,2,44094.82759,0,0,0.0
2505,787.45,7,5,2,69.96,1,15431.03448,0,0,3984.0
2506,971.37,7,2,1,63.65,2,11684.48276,1,0,4150.0
2507,1790.16,5,2,5,64.33,2,9086.758287,0,0,9332.364752
2508,627.41,7,1,3,77.82,1,23274.13793,0,0,4465.0
2509,1255.22,4,7,6,60.85,2,16307.5,0,0,10340.0
2510,1350.82,3,9,7,69.48,1,18654.28571,0,0,6084.0
2511,976.83,5,4,5,67.5,2,20096.0,0,0,5252.0
2512,1615.93,3,1,5,58.73,2,11318.125,0,0,4350.0
2513,1194.14,5,5,6,63.35,2,22897.0,0,0,3984.0
2514,1400.23,5,10,9,61.54,2,37263.38028,0,0,0.0
2515,1378.35,3,5,5,68.07,2,18095.71429,0,0,0.0
2516,1884.97,7,5,1,32.24,4,16410.34483,1,1,0.0
2517,2828.79,3,10,10,65.93,2,28224.30864,0,0,21822.10618
2518,1234.92,7,10,4,52.35,3,23848.27586,0,0,5824.0
2519,1008.89,7,10,1,65.01,2,2703.448276,1,0,8775.0
2520,1133.36,7,4,1,71.17,1,8291.37931,1,1,0.0
2521,731.23,6,2,5,57.48,2,20867.85469,0,0,11856.64428
2522,1185.36,5,6,6,56.83,2,27098.0,0,0,0.0
2523,1871.38,1,9,8,58.45,2,17569.02655,0,0,4800.0
2524,1262.05,5,1,2,69.18,1,10266.0,0,0,4608.0
2525,1136.37,5,1,3,69.48,1,14173.0,0,0,3900.0
2526,1707.9,4,7,5,57.64,2,9441.358025,0,0,9444.0
2527,1184.87,3,10,6,74.49,1,11658.24176,0,0,5824.0
2528,1254.69,5,6,1,61.32,2,6084.0,1,1,5096.0
2529,1246.83,2,6,4,61.91,2,21316.0,0,0,0.0
2530,1537.56,3,4,7,57.5,2,19422.85714,0,0,5400.0
2531,951.57,6,4,1,68.47,2,9087.931034,1,1,4160.0
2532,1080.88,5,5,4,68.1,2,15243.0,0,0,4500.0
2533,976.78,6,7,3,56.95,2,15100.0,0,0,7200.0
2534,840.53,4,8,5,74.15,1,11106.12245,0,0,13731.0
2535,1303.85,7,8,1,51.79,3,17267.24138,1,1,0.0
2536,1287.78,1,4,6,62.64,2,28582.0,0,0,864.0
2537,1652.85,2,10,9,54.69,2,41516.90141,0,0,0.0
2538,943.7,5,6,2,74.68,1,5862.0,0,0,6000.0
2539,1728.68,6,2,1,31.97,4,8870.689655,1,1,0.0
2540,989.41,7,2,2,70.37,1,23020.68966,0,0,0.0
2541,728.81,1,10,5,78.79,1,19173.0,0,0,5096.0
2542,1144.56,2,8,5,57.12,2,23454.0,0,0,0.0
2543,1752.31,1,9,8,41.58,3,24086.0,0,0,14400.0
2544,1337.34,5,7,6,58.26,2,17504.60455,0,0,6288.461538
2545,779.01,7,9,1,68.4,2,10934.48276,1,0,4316.0
2546,1215.45,6,9,2,51.45,3,20333.47224,0,0,776.5861
2547,1120.48,2,4,10,68.72,1,64275.0,0,0,0.0
2548,1079.3,7,2,1,72.0,1,16662.06897,1,1,0.0
2549,922.04,1,9,9,75.2,1,33864.0,0,0,12900.0
