,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
4893,979.75,2,7,2,68.74,1,12928.0,0,0,0.0
4894,1210.6,5,8,1,65.8,2,3210.56338,1,1,6144.0
4895,1112.44,2,5,7,66.35,2,23811.0,0,0,8136.0
4896,613.41,7,9,5,71.62,1,32367.04004,0,0,4852.116776
4897,1138.75,1,9,10,60.49,2,57880.0,0,0,13200.0
4898,1032.13,1,7,10,69.45,1,76389.0,0,0,204.0
4899,1001.38,5,2,8,68.22,2,27332.16356,0,0,4857.327743
4900,1993.32,2,6,9,41.36,3,31602.8169,0,0,0.0
4901,2965.89,3,9,8,30.79,4,19473.57143,0,0,15600.0
4902,1033.13,2,10,1,69.17,1,8359.0,1,1,0.0
4903,1202.18,2,5,3,59.78,2,17522.0,0,0,0.0
4904,905.55,7,2,7,69.88,1,46691.37931,0,0,5200.0
4905,580.38,7,8,2,72.08,1,15172.41379,0,0,4992.0
4906,892.23,3,5,4,78.63,1,14495.60897,0,0,4990.269231
4907,743.41,7,2,3,71.89,1,18308.62069,0,0,5304.0
4908,1239.98,5,2,3,62.29,2,10995.0,0,0,5304.0
4909,1241.2,1,5,9,71.61,1,32758.4507,0,0,7200.0
4910,1214.94,2,9,9,68.3,2,49401.0,0,0,0.0
4911,1283.1,1,10,10,64.55,2,59573.0,0,0,0.0
4912,1304.2,3,9,10,64.91,2,35552.14286,0,0,11856.0
4913,1557.89,4,4,4,54.46,3,14645.0,0,0,4368.0
4914,783.25,5,9,2,74.66,1,8291.0,0,0,5616.0
4915,1064.07,3,6,6,72.2,1,18075.0,0,0,4764.0
4916,2067.64,3,4,10,41.36,3,62357.85714,0,0,13200.0
4917,1066.05,7,10,2,52.56,3,15970.68966,1,0,4680.0
4918,1877.73,4,10,6,68.99,1,17372.85714,0,0,4836.0
4919,1097.33,1,4,5,64.53,2,22189.0,0,0,3000.0
4920,786.54,1,9,10,73.68,1,62593.0,0,0,7200.0
4921,929.34,1,10,2,74.52,1,8577.0,1,0,3825.0
4922,983.52,6,6,3,74.38,1,29567.24138,0,0,0.0
4923,878.47,2,8,2,70.02,1,10004.0,0,0,4992.0
4924,1145.16,3,9,7,64.07,2,25282.5,0,0,6240.0
4925,493.2,6,9,4,77.58,1,25029.31034,0,0,4784.0
4926,2239.0,4,2,4,61.81,2,5848.305085,1,1,13650.0
4927,1537.61,4,7,5,54.66,2,7809.136907,1,0,9578.188092
4928,1364.42,2,7,4,54.05,3,14591.0,0,0,6272.0
4929,647.55,7,9,3,72.17,1,26468.27586,0,0,1436.4
4930,1104.73,4,4,5,74.51,1,17675.42373,0,0,4316.0
4931,918.3,5,1,2,61.9,2,9200.0,0,0,4320.0
4932,875.05,4,10,3,75.8,1,15874.96734,0,0,5441.525472
4933,1735.01,3,7,8,67.43,2,21578.80435,0,0,0.0
4934,1152.18,3,9,9,76.84,1,28231.25,0,0,7176.0
4935,2858.81,1,2,10,26.81,4,44861.0,0,0,14400.0
4936,1498.59,2,10,6,58.78,2,29260.0,0,0,0.0
4937,1342.82,1,4,6,63.5,2,23346.0,0,0,3952.0
4938,973.64,6,1,1,70.99,1,13713.7931,1,0,3640.0
4939,1736.17,5,4,10,58.06,2,21192.0354,0,0,11440.0
4940,897.62,6,7,2,70.25,1,13037.93103,0,0,4900.0
4941,1993.79,7,2,1,20.14,5,7317.241379,1,1,6000.0
4942,732.75,6,4,6,73.1,1,36756.89655,0,0,9000.0
4943,955.62,6,8,6,57.27,2,28506.89655,0,0,13200.0
4944,1394.96,3,2,8,59.19,2,28707.14286,0,0,3180.0
4945,1239.65,5,9,4,68.65,1,1100.543478,0,0,19200.0
4946,683.92,6,2,5,75.72,1,33765.51724,0,0,4560.0
4947,1295.62,3,2,5,61.11,2,10756.42857,0,0,8700.0
4948,1386.57,3,2,7,63.33,2,20306.91515,0,0,6087.180485
4949,845.2,6,8,5,49.53,3,39496.55172,0,0,0.0
4950,1222.39,3,2,4,63.95,2,10861.97183,0,0,6600.0
4951,781.19,7,8,1,64.1,2,2558.62069,1,1,4920.0
4952,1232.82,1,9,9,60.39,2,43237.0,0,0,8760.0
4953,1022.88,3,8,4,69.91,1,12109.34417,0,0,5792.787
4954,491.79,6,8,5,78.9,1,30827.58621,0,0,5400.0
4955,1106.96,1,4,1,75.77,1,-148.0,1,1,4800.0
4956,1107.34,2,7,2,60.57,2,12648.0,0,0,0.0
4957,975.39,7,2,1,67.89,2,9189.655172,1,0,4472.0
4958,1087.32,5,2,7,66.11,2,24840.0,0,0,9540.0
4959,1937.99,3,4,10,58.38,2,70867.3913,0,0,0.0
4960,1456.21,2,8,10,65.5,2,66517.0,0,0,0.0
4961,1316.01,1,4,4,59.6,2,17663.0,0,0,4560.0
4962,762.83,6,1,1,73.09,1,5953.448276,1,0,4320.0
4963,1772.45,1,4,9,53.74,3,23123.36957,0,0,2652.0
4964,1541.61,3,9,5,56.83,2,12688.04348,0,0,0.0
4965,980.06,3,2,6,72.57,1,16693.33333,0,0,8340.0
4966,1425.25,2,10,7,55.03,2,31556.0,0,0,0.0
4967,622.89,7,7,4,76.02,1,25718.96552,0,0,5044.0
4968,781.58,6,5,1,68.83,1,4424.137931,1,1,3315.0
4969,789.62,1,4,6,72.98,1,26099.0,0,0,3984.0
