,Unnamed: 0,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
2999,2999,1208.24,2,5,3,65.78,2,16346.0,0,0,0.0,0.36488496715117497
3000,3000,1394.28,3,10,8,67.17,2,25041.66667,0,0,10356.0,0.18716192391593475
3001,3001,864.17,1,9,5,73.28,1,16707.0,0,0,6120.0,-1.2633970666124137
3002,3002,981.04,2,4,6,75.79,1,26302.0,0,0,0.0,-0.29876433922813006
3003,3003,1666.4,1,2,10,54.52,2,55877.0,0,0,7800.0,0.30111027645408933
3004,3004,1126.58,4,6,2,64.65,2,10478.20513,0,0,6300.0,-1.269171339202314
3005,3005,1769.3,3,10,7,52.38,3,22220.0,0,0,8100.0,1.9512644220438424
3006,3006,936.29,6,9,2,63.29,2,12613.7931,0,0,5040.0,-0.9457111827294598
3007,3007,1622.86,4,6,5,72.52,1,13271.73913,0,0,4850.0,-0.05169951614115712
3008,3008,804.14,7,7,2,70.94,1,14163.7931,0,0,3950.0,-0.8644062759741117
3009,3009,865.75,7,1,1,70.57,1,9100.0,1,0,4680.0,0.27166609944193415
3010,3010,1385.21,4,10,5,68.4,2,12467.79661,0,0,7800.0,1.1987462988806767
3012,3012,1037.66,4,8,3,58.4,2,16364.10256,0,0,3960.0,0.8347663691533279
3014,3014,1328.2,6,6,1,57.13,2,10836.2069,1,1,4160.0,-0.5381930194980352
3016,3016,1650.69,4,4,3,54.88,2,11689.79592,1,1,4784.0,-1.6718273332824338
3017,3017,616.38,6,8,2,71.03,1,11108.62069,0,0,7800.0,0.558668029396853
3018,3018,923.0,1,5,9,65.71,2,45129.0,0,0,5400.0,-1.1257801386138249
3019,3019,2343.96,2,10,6,41.89,3,19804.22535,0,0,0.0,-0.032115341929624494
3020,3020,1131.86,6,4,6,60.81,2,41763.7931,0,0,3000.0,-0.9309183723496499
3022,3022,1767.11,3,4,9,66.58,2,20766.48352,0,0,9000.0,0.5570308835230519
3024,3024,1223.9,5,2,8,70.17,1,33755.0,0,0,4950.0,-1.9313679397780599
3025,3025,1386.04,3,4,5,66.56,2,11695.67901,0,0,5400.0,0.13046571000849294
3026,3026,1818.25,3,2,5,66.27,2,12622.85714,0,0,6000.0,-0.8825281862259319
3029,3029,1340.9,2,9,6,61.56,2,26380.0,0,0,0.0,-0.2570889140107336
3031,3031,1035.36,6,5,1,66.56,2,10136.2069,1,1,4264.0,1.3372488422332633
3032,3032,1432.31,2,9,3,58.04,2,18096.0,0,0,0.0,1.823415541730203
3034,3034,1662.52,3,4,6,71.69,1,11502.24067,0,0,4265.473846,0.5927105684888377
3035,3035,1457.58,4,8,7,63.73,2,13679.28571,0,0,11400.0,0.3396489250408625
3037,3037,1399.75,2,2,3,62.5,2,16110.0,0,0,0.0,0.7209616753329104
3038,3038,1330.21,2,5,2,67.46,2,14885.0,0,0,0.0,-0.9504567919017962
3039,3039,1182.95,1,9,9,64.3,2,33983.0,0,0,11100.0,-0.004500412391895871
3041,3041,1393.86,2,9,3,47.33,3,14904.0,0,0,3000.0,-1.3217796093090193
3042,3042,2265.83,2,2,3,37.49,4,15274.0,1,1,0.0,-0.3890819020353941
3043,3043,1020.19,2,7,2,68.82,1,13160.0,0,0,0.0,-0.3401383215621583
3047,3047,1004.21,1,7,5,69.17,1,20212.0,0,0,4884.0,0.19607231566156968
3048,3048,2308.72,3,9,9,50.28,3,25028.57143,0,0,14400.0,-1.9504523671565148
3049,3049,1052.59,3,9,6,76.32,1,15097.85714,0,0,8268.0,0.27653699391735126
3050,3050,1451.94,3,10,2,69.4,1,5169.135802,1,1,4500.0,0.14777263894113613
3054,3054,1597.36,3,4,8,67.12,2,19744.50549,0,0,3996.0,-0.11658428516733832
3055,3055,947.36,7,5,1,56.88,2,14444.82759,1,1,0.0,-0.9904248127887059
3056,3056,988.2,6,5,2,56.44,2,15237.93103,0,0,2880.0,-0.36328458397360686
3057,3057,1426.43,1,1,3,60.02,2,16808.0,0,0,0.0,1.9789420052781885
3058,3058,1262.57,2,5,5,60.2,2,25482.0,0,0,0.0,-0.808284829345356
3059,3059,1387.44,5,8,7,53.4,3,5295.070423,0,0,24000.0,1.20722152748391
3060,3060,1300.9,3,9,5,65.11,2,11636.66667,0,0,9540.0,-1.2649741074810095
3062,3062,1315.35,3,2,10,77.01,1,40701.42857,0,0,7200.0,-0.4313467269015409
3063,3063,3806.88,2,4,10,26.2,4,100000.0,0,0,9000.0,1.2524527672426435
3065,3065,1973.0,3,9,10,63.59,2,38355.71429,0,0,18000.0,1.3484420407836823
3066,3066,1111.76,2,9,2,66.07,2,13563.0,0,0,0.0,0.45641994213721426
3067,3067,1230.67,3,2,8,67.49,2,19277.47253,0,0,6600.0,-0.008583406518562877
3069,3069,2690.92,3,9,6,31.47,4,15315.0,0,0,4998.0,0.856390136980716
3070,3070,649.49,7,1,4,76.3,1,29158.62069,0,0,2964.0,-0.040119166459439665
3071,3071,1300.24,7,10,5,53.81,3,38465.51724,0,0,0.0,-0.7596061364855274
3072,3072,1551.65,2,6,1,47.22,3,10652.0,1,1,0.0,-1.4235881030765771
3073,3073,1270.58,2,10,8,69.31,1,21449.29577,0,0,7200.0,1.205133143099779
3074,3074,1132.66,6,2,5,67.39,2,29631.03448,0,0,5400.0,-0.10247998607778189
3075,3075,1943.83,1,4,10,68.43,2,58413.0,0,0,10680.0,0.5380002918914222
3076,3076,1114.9,7,9,4,61.52,2,26513.7931,0,0,6240.0,-0.43675418473515537
3077,3077,1273.86,3,7,3,65.95,2,8185.0,0,0,6600.0,-0.4806503874704895
3078,3078,1042.58,1,4,5,62.96,2,19410.0,0,0,5880.0,0.8068751875587793
3079,3079,1261.59,3,7,8,68.47,2,14613.58696,0,0,11340.0,1.4572829033899752
3081,3081,1073.32,1,6,1,70.05,1,6779.0,0,0,4740.0,0.3580781613055601
3083,3083,653.87,7,8,2,73.13,1,21401.72414,0,0,0.0,-0.32442489441105044
3084,3084,1197.21,2,5,5,62.53,2,22777.0,0,0,0.0,-1.0282253504863925
3085,3085,1397.51,1,10,7,64.99,2,19956.0,0,0,11760.0,-0.14704522464326522
3086,3086,2180.33,2,10,10,42.23,3,60774.0,0,0,13200.0,-1.189690122530541
3090,3090,1810.35,2,4,3,40.26,3,10750.0,1,1,4500.0,1.3423984515699465
