,Unnamed: 0,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
7638,7638,1410.09,1,9,5,63.93,2,14988.02817,0,0,6240.0,-0.4422811440251552
7639,7639,1631.05,3,8,10,58.49,2,91180.0514,0,0,50321.93833,0.6039366028332673
7640,7640,1489.97,3,6,8,71.48,1,27030.0,0,0,6660.0,0.22441604624078
7641,7641,1115.02,2,6,6,75.34,1,19962.67606,0,0,3708.0,0.8561562105926264
7642,7642,729.42,6,2,4,75.86,1,28575.86207,0,0,4680.0,-0.050922243204139565
7646,7646,1118.38,2,9,5,68.27,2,19249.76923,0,0,5769.230769,-1.3909739280851376
7647,7647,950.64,5,10,4,82.34,1,6842.156863,0,0,6500.0,-0.5557741898587817
7648,7648,1012.67,6,7,1,74.11,1,5037.931034,1,1,3952.0,0.8942051342245193
7651,7651,1038.2,6,8,1,58.23,2,5954.164486,1,1,1624.584598,-0.16655147047920682
7652,7652,1494.07,1,4,4,62.75,2,18057.0,0,0,4128.0,-3.591533262900739
7653,7653,937.08,2,2,4,74.42,1,22084.0,0,0,0.0,0.43410482452142596
7654,7654,1417.78,3,7,6,59.49,2,10506.69643,0,0,4524.0,-0.23896283888144462
7655,7655,1397.45,1,7,5,67.62,2,10081.69014,0,0,12000.0,-0.2072562732036469
7656,7656,1570.39,3,10,10,65.7,2,48927.46479,0,0,0.0,0.6684935683411648
7657,7657,810.48,6,10,3,81.23,1,17775.86207,0,0,8700.0,-2.157008718641922
7658,7658,1294.43,1,8,10,55.8,2,44081.0,0,0,18000.0,1.6185115937644785
7659,7659,1837.38,3,7,9,73.76,1,26162.28361,0,0,11748.80295,0.47474938223951085
7662,7662,1141.48,3,10,4,72.41,1,11515.0,0,0,7020.0,-1.3697893560378354
7663,7663,847.94,5,8,6,72.14,1,17112.0,0,0,14400.0,0.8058951351128697
7664,7664,1071.98,7,9,2,66.86,2,26882.75862,0,0,0.0,0.574421925991554
7665,7665,1152.38,2,9,5,62.3,2,22122.0,0,0,5400.0,0.6573977810295974
7666,7666,712.45,7,6,2,74.37,1,17329.31034,0,0,3952.0,1.6452390997052675
7667,7667,1302.12,1,2,9,79.78,1,22419.56522,0,0,10560.0,-0.2992757438468074
