,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorehs,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,HTHG,WHDBroad,ECO_AW,aagph1718
5431,17180024593,0,4,0,0,0,56687.93103,0.82,34070,32879,1180.32,34.34,654.67,458.64,32.67,1,1,0,0,0,1,7,10,58.23,2,58.23,2,4,1,1,3,2,5,1,1,2,2,5,6,1,1,5,3,1,0,0,0,3,1813
5432,17180024596,0,3,0,0,6900,28924,1,37046,35824,765.85,134.39,188.11,404.75,38.6,1,1,0,0,0,0,7,7,77.58,1,77.58,1,6,1,2,5,9,2,1,1,2,2,5,1,1,1,4,1,2,0,0,0,3,2720
5433,17180024599,0,3,0,0,7920,16065.625,1.32,34872,33625,1435.61,182.63,585.14,612.6,55.24,1,1,0,0,1,0,7,3,59.71,2,57.88,2,6,1,2,3,5,3,1,1,3,2,5,3,1,1,1,3,5,0,1,0,3,1021
5434,17180024603,0,3,0,0,7140,22947,1,31211,30087,756.92,97.3,231.31,389.71,38.6,1,1,0,0,0,0,6,5,78.18,1,78.18,1,6,1,2,3,9,2,1,1,2,2,5,1,1,1,5,2,2,0,0,0,3,1656
5435,17180024609,0,4,0,0,13792,17760.55556,1.32,45229,45761,1898.08,282.41,678.4,872.32,64.95,1,1,0,0,1,0,8,4,62.06,2,62.06,2,10,1,2,4,9,5,1,1,1,1,1,3,1,1,2,3,5,1,1,0,3,3501
5436,17180024610,0,4,0,0,0,41291,1,42918,41291,1275.83,103.5,706.54,427.82,37.97,1,1,0,0,1,0,8,9,58.95,2,57.31,2,5,1,1,3,2,3,1,1,3,1,5,1,1,1,5,5,2,0,0,0,3,4815
5437,17180024617,0,3,0,0,10440,33645,1,46003,44085,1071.29,107.4,484.37,439.62,39.9,1,1,0,0,0,0,8,8,65.53,2,66.43,2,9,1,1,4,5,3,1,1,2,2,4,1,1,1,5,4,2,0,0,0,3,2556
5438,17180024621,0,4,0,0,2067.375245,17364.87027,0.82,13026,12139,1066.13,85.35,592.88,352.97,34.93,3,3,0,0,0,0,1,4,59.79,2,59.16,2,10,1,1,3,4,2,1,1,1,1,5,6,1,1,5,2,1,0,0,0,3,3036
5439,17180024623,0,3,0,0,12000,35159,1,48891,47159,1088.98,113.22,511.38,425.91,38.47,1,1,0,0,0,0,9,8,59.78,2,57.51,2,7,1,2,6,1,2,1,1,3,1,5,1,1,1,5,3,2,0,0,0,3,640
5440,17180024625,0,4,0,0,0,31353.44828,0.82,19353,18185,1345.67,135.48,812.73,363.6,33.86,1,1,0,0,1,1,3,7,42.58,3,43.05,3,2,1,1,3,5,4,1,1,2,3,2,7,3,1,6,5,1,1,0,0,3,1600
5441,17180024630,0,2,0,0,6760,7245.982143,1.32,20732,22991,1137.91,213.93,257.46,604.07,62.45,3,1,0,0,1,0,4,1,81.19,1,76.29,1,9,1,4,2,9,4,1,1,2,2,5,5,2,1,1,3,5,0,0,1,2,2481
5442,17180024635,0,4,0,0,8760,33984.48276,0.82,29598,28471,1322.93,227.6,609.29,449.46,36.58,2,2,0,0,1,1,6,8,46.21,3,46.21,3,4,1,2,4,8,3,1,1,1,1,1,7,1,1,6,5,1,0,0,0,3,1117
5443,17180024645,1,1,47.96341463,39.33,3900,13051.72414,0.82,8486,11470,1008.09,376.06,427.88,152.6,51.55,2,1,1,0,1,0,1,2,52.14,3,44.15,3,9,0,3,5,7,1,1,3,2,1,-9,7,3,1,6,5,1,0,0,1,4,581
5444,17180024646,0,4,0,0,0,48172,1,50134,48172,1334.44,132.74,634.95,528.28,38.47,1,1,0,0,1,1,9,9,60.55,2,62.18,2,7,1,1,4,5,5,1,1,2,2,1,2,3,1,7,6,2,1,1,0,3,1879
5445,17180024651,0,4,0,0,0,33269,1,35074,33269,1198.45,107.57,537.95,514.22,38.71,1,1,0,0,0,1,7,8,63.96,2,65.26,2,1,1,1,4,6,4,1,1,2,2,5,1,3,1,5,4,2,0,0,0,3,1458
5446,17180024656,0,3,0,0,7800,22576.53061,1.07,31031,29925,877.09,135.72,251.7,444.03,45.64,1,1,0,0,1,0,6,5,69.45,1,69.45,1,9,1,1,2,8,1,1,1,1,1,4,4,1,1,2,3,3,0,0,0,3,1550
5447,17180024658,0,4,0,0,6960,37613.58025,1.21,69957,67894,1767.42,198.36,762.76,754.92,51.38,1,1,0,0,1,0,10,9,64.89,2,64.89,2,9,1,1,4,8,5,1,1,2,1,1,3,1,1,3,3,4,0,0,0,3,1442
5448,17180024665,0,4,0,0,0,27498.27586,0.82,17160,15949,1172.5,275.39,491.22,368.22,37.67,2,2,0,0,1,1,2,7,54.13,3,55.05,2,9,1,1,3,6,3,1,1,2,1,1,7,3,1,7,6,1,1,1,0,3,3227
5449,17180024666,0,3,0,0,0,29425.86207,0.82,17992,17067,682.76,85.25,280.05,284.52,32.94,1,1,0,0,1,0,3,7,71.62,1,71.62,1,7,1,1,3,8,1,1,1,5,2,5,7,3,1,7,6,1,0,0,0,3,2478
5450,17180024668,1,1,89.53863688,95.80634146,6004,12390.84507,1.07,24767,23599,1359.92,67.52,586.27,662.4,43.73,3,3,0,0,0,0,5,2,65.34,2,66.95,2,5,1,4,3,7,4,1,1,2,2,5,5,1,2,4,3,3,0,0,1,4,610
5451,17180024669,0,2,0,0,11400,7941.549296,1.07,23632,22677,921.63,142.59,249.9,483.39,45.75,1,1,0,0,1,0,4,1,74.53,1,75.39,1,8,1,2,5,5,2,1,1,2,2,5,4,1,1,3,3,3,0,1,0,3,2585
5452,17180024671,0,3,0,0,3240,25761,1,30003,29001,974.58,48.81,404.38,483.24,38.15,1,1,0,0,0,0,6,6,69.54,1,70.85,1,4,1,1,1,6,3,1,1,2,1,5,1,1,1,5,3,2,0,0,0,3,3016
5453,17180024675,0,4,0,0,9900,20783.67347,1.07,31492,30268,1613.15,90.11,850.68,627.13,45.23,1,1,0,0,1,0,6,5,45.34,3,42.41,3,2,1,2,3,3,3,1,1,3,3,4,4,1,1,1,3,3,1,0,0,3,647
5454,17180024677,0,2,0,0,13080,4651.875,1.32,15328,20523,1266.87,195.75,411.2,596.99,62.93,2,2,0,0,1,0,4,1,64.21,2,62.3,2,8,1,4,5,4,2,1,1,3,3,5,3,1,2,1,3,5,0,0,0,2,502
5455,17180024680,0,4,0,0,0,25584,1,27584,25584,1627.13,152.39,845.56,586.58,42.6,2,2,0,0,1,1,5,6,50.96,3,52.54,3,7,1,1,4,6,5,1,1,2,1,1,2,3,1,6,6,2,0,0,0,3,3026
5456,17180024682,0,3,0,0,4992,15459,1,21453,20451,1034.14,106.48,439.65,449.38,38.63,3,3,0,0,0,0,4,3,68.61,1,69.69,1,4,1,4,3,5,2,1,1,2,2,5,5,1,1,5,4,2,0,0,0,4,732
5457,17180024687,1,1,721.1225559,872.5582927,7200,14232.06522,1.21,34761,33387,2302.07,100.47,1349.41,798.38,53.81,2,3,0,0,1,0,7,3,35.46,4,33.45,4,1,1,2,2,4,3,1,1,3,3,3,3,3,2,3,3,4,0,1,0,3,2044
5458,17180024693,0,3,0,0,28200,81371,1,100000,100000,1081.66,119.08,524.73,397.85,40,1,1,0,0,0,0,10,10,54.82,2,52.78,3,8,1,2,2,3,2,1,1,3,1,4,5,1,1,5,2,2,0,0,0,3,11978
5459,17180024698,1,1,28.67073171,23.51,4368,14944.82759,0.82,8668,13036,992.27,79.31,706.65,172.96,33.35,3,3,1,0,1,0,2,3,57.91,2,47.29,3,1,1,2,1,3,1,1,1,3,1,5,7,3,1,6,5,1,0,0,1,3,767
5460,17180024701,0,3,0,0,8340,27791,1,37437,36131,818.78,58.57,222.21,499.4,38.6,1,1,0,0,0,0,7,7,78.04,1,78.04,1,6,1,2,5,9,3,1,1,4,3,5,1,1,1,4,2,2,0,0,0,3,3657
